Date,TZ,City,Code,Load
12/01/2020 17:40:00,EST,N.Y.C.,61761,5870.086
12/01/2020 17:45:00,EST,N.Y.C.,61761,5901.4297
12/01/2020 17:50:00,EST,N.Y.C.,61761,5912.2417
12/01/2020 17:55:00,EST,N.Y.C.,61761,5895.2554
12/01/2020 18:00:00,EST,N.Y.C.,61761,5916.8057
12/01/2020 18:05:00,EST,N.Y.C.,61761,5890.4023
12/01/2020 18:10:00,EST,N.Y.C.,61761,5845.684
12/01/2020 18:15:00,EST,N.Y.C.,61761,5814.4805
12/01/2020 18:20:00,EST,N.Y.C.,61761,5801.701
12/01/2020 18:25:00,EST,N.Y.C.,61761,5805.337
12/01/2020 18:30:00,EST,N.Y.C.,61761,5780.795
12/01/2020 18:35:00,EST,N.Y.C.,61761,5778.5283
12/01/2020 18:40:00,EST,N.Y.C.,61761,5757.8594
12/01/2020 18:45:00,EST,N.Y.C.,61761,5793.173
12/01/2020 18:50:00,EST,N.Y.C.,61761,5754.3325
12/01/2020 18:55:00,EST,N.Y.C.,61761,5777.048
12/01/2020 19:00:00,EST,N.Y.C.,61761,5736.296
12/01/2020 19:05:00,EST,N.Y.C.,61761,5704.3394
12/01/2020 19:10:00,EST,N.Y.C.,61761,5690.1465
12/01/2020 19:15:00,EST,N.Y.C.,61761,5686.4326
12/01/2020 19:20:00,EST,N.Y.C.,61761,5675.0596
12/01/2020 19:25:00,EST,N.Y.C.,61761,5663.7114
12/01/2020 19:30:00,EST,N.Y.C.,61761,5644.556
12/01/2020 19:35:00,EST,N.Y.C.,61761,5631.1445
12/01/2020 19:40:00,EST,N.Y.C.,61761,5619.1943
12/01/2020 19:45:00,EST,N.Y.C.,61761,5621.549
12/01/2020 19:50:00,EST,N.Y.C.,61761,5619.915
12/01/2020 19:55:00,EST,N.Y.C.,61761,5581.3564
12/01/2020 20:00:00,EST,N.Y.C.,61761,5550.2354
12/01/2020 20:05:00,EST,N.Y.C.,61761,5531.2773
12/01/2020 20:10:00,EST,N.Y.C.,61761,5491.54
12/01/2020 20:15:00,EST,N.Y.C.,61761,5524.788
12/01/2020 20:20:00,EST,N.Y.C.,61761,5489.8936
12/01/2020 20:25:00,EST,N.Y.C.,61761,5524.335
12/01/2020 20:30:00,EST,N.Y.C.,61761,5516.876
12/01/2020 20:35:00,EST,N.Y.C.,61761,5456.406
12/01/2020 20:40:00,EST,N.Y.C.,61761,5433.9414
12/01/2020 20:45:00,EST,N.Y.C.,61761,5449.3994
12/01/2020 20:50:00,EST,N.Y.C.,61761,5432.7026
12/01/2020 20:55:00,EST,N.Y.C.,61761,5421.732
12/01/2020 21:00:00,EST,N.Y.C.,61761,5389.6777
12/01/2020 21:05:00,EST,N.Y.C.,61761,5385.004
12/01/2020 21:10:00,EST,N.Y.C.,61761,5357.4707
12/01/2020 21:15:00,EST,N.Y.C.,61761,5388.0347
12/01/2020 21:20:00,EST,N.Y.C.,61761,5334.3613
12/01/2020 21:25:00,EST,N.Y.C.,61761,5278.7915
12/01/2020 21:30:00,EST,N.Y.C.,61761,5301.459
12/01/2020 21:35:00,EST,N.Y.C.,61761,5294.2627
12/01/2020 21:40:00,EST,N.Y.C.,61761,5285.023
12/01/2020 21:45:00,EST,N.Y.C.,61761,5236.1504
12/01/2020 21:50:00,EST,N.Y.C.,61761,5225.475
12/01/2020 21:55:00,EST,N.Y.C.,61761,5204.497
12/01/2020 22:00:00,EST,N.Y.C.,61761,5162.697
12/01/2020 22:05:00,EST,N.Y.C.,61761,5108.727
12/01/2020 22:10:00,EST,N.Y.C.,61761,5077.894
12/01/2020 22:15:00,EST,N.Y.C.,61761,5086.2393
12/01/2020 22:20:00,EST,N.Y.C.,61761,5049.2905
12/01/2020 22:25:00,EST,N.Y.C.,61761,5025.777
12/01/2020 22:30:00,EST,N.Y.C.,61761,5030.2554
12/01/2020 22:35:00,EST,N.Y.C.,61761,4975.304
12/01/2020 22:40:00,EST,N.Y.C.,61761,4933.4756
12/01/2020 22:45:00,EST,N.Y.C.,61761,4939.254
12/01/2020 22:50:00,EST,N.Y.C.,61761,4896.918
12/01/2020 22:55:00,EST,N.Y.C.,61761,4866.468
12/01/2020 23:00:00,EST,N.Y.C.,61761,4868.449
12/01/2020 23:05:00,EST,N.Y.C.,61761,4844.1904
12/01/2020 23:10:00,EST,N.Y.C.,61761,4793.4316
12/01/2020 23:15:00,EST,N.Y.C.,61761,4781.0366
12/01/2020 23:20:00,EST,N.Y.C.,61761,4751.495
12/01/2020 23:25:00,EST,N.Y.C.,61761,4721.7686
12/01/2020 23:30:00,EST,N.Y.C.,61761,4685.473
12/01/2020 23:35:00,EST,N.Y.C.,61761,4688.073
12/01/2020 23:40:00,EST,N.Y.C.,61761,4647.5977
12/01/2020 23:45:00,EST,N.Y.C.,61761,4647.5166
12/01/2020 23:50:00,EST,N.Y.C.,61761,4612.729
12/01/2020 23:55:00,EST,N.Y.C.,61761,4592.0444
12/02/2020 00:00:00,EST,N.Y.C.,61761,4564.0938
12/02/2020 00:05:00,EST,N.Y.C.,61761,4527.656
12/02/2020 00:10:00,EST,N.Y.C.,61761,4521
12/02/2020 00:15:00,EST,N.Y.C.,61761,4481.427
12/02/2020 00:20:00,EST,N.Y.C.,61761,4485.984
12/02/2020 00:25:00,EST,N.Y.C.,61761,4440.0674
12/02/2020 00:30:00,EST,N.Y.C.,61761,4426.06
12/02/2020 00:35:00,EST,N.Y.C.,61761,4414.204
12/02/2020 00:40:00,EST,N.Y.C.,61761,4395.6416
12/02/2020 00:45:00,EST,N.Y.C.,61761,4398.4297
12/02/2020 00:50:00,EST,N.Y.C.,61761,4352.5845
12/02/2020 00:55:00,EST,N.Y.C.,61761,4329.376
12/02/2020 01:00:00,EST,N.Y.C.,61761,4325.7744
12/02/2020 01:05:00,EST,N.Y.C.,61761,4308.8965
12/02/2020 01:10:00,EST,N.Y.C.,61761,4280.2544
12/02/2020 01:15:00,EST,N.Y.C.,61761,4294.085
12/02/2020 01:20:00,EST,N.Y.C.,61761,4255.9844
12/02/2020 01:25:00,EST,N.Y.C.,61761,4260.1895
12/02/2020 01:30:00,EST,N.Y.C.,61761,4239.3823
12/02/2020 01:35:00,EST,N.Y.C.,61761,4246.096
12/02/2020 01:40:00,EST,N.Y.C.,61761,4230.9644
12/02/2020 01:45:00,EST,N.Y.C.,61761,4220.841
12/02/2020 01:50:00,EST,N.Y.C.,61761,4200.2363
12/02/2020 01:55:00,EST,N.Y.C.,61761,4207.0674
12/02/2020 02:00:00,EST,N.Y.C.,61761,4178.324
12/02/2020 02:05:00,EST,N.Y.C.,61761,4173.931
12/02/2020 02:10:00,EST,N.Y.C.,61761,4180.8857
